year_month,review_count,avg_rating,pct_one_star,pct_five_star,pct_negative,avg_review_length,avg_word_count,avg_sentiment_score,sentiment_std
2022-05,7,2.14,57.14,14.29,71.43,208.29,38.43,0.002,0.737
2022-06,27,2.33,51.85,11.11,55.56,232.07,41.3,0.045,0.544
2022-07,16,1.62,62.5,6.25,87.5,194.25,34.5,0.08,0.548
2022-08,6,2.33,66.67,33.33,66.67,269.17,49.17,-0.26,0.616
2022-09,10,2.5,20.0,0.0,40.0,206.0,36.3,0.262,0.509
2022-10,26,2.62,30.77,11.54,46.15,202.31,36.31,0.048,0.567
2022-11,53,2.17,43.4,9.43,64.15,203.77,36.81,-0.045,0.487
2022-12,42,1.98,52.38,2.38,66.67,202.5,36.6,-0.031,0.551
2023-01,38,1.74,55.26,2.63,78.95,211.92,37.47,-0.031,0.512
2023-02,61,1.82,60.66,4.92,72.13,227.64,40.41,-0.05,0.523
2023-03,46,1.65,63.04,2.17,76.09,199.57,35.74,-0.115,0.537
2023-04,52,1.5,73.08,1.92,86.54,217.29,38.81,-0.044,0.54
2023-05,30,1.47,70.0,3.33,90.0,207.33,37.0,-0.04,0.552
2023-06,27,1.37,85.19,3.7,88.89,227.48,41.56,-0.187,0.548
2023-07,50,1.54,74.0,4.0,84.0,186.84,33.92,-0.151,0.479
2023-08,75,1.45,77.33,2.67,85.33,205.71,36.61,-0.255,0.503
2023-09,73,1.51,71.23,2.74,84.93,217.44,38.33,-0.228,0.539
2023-10,77,1.44,79.22,1.3,84.42,220.73,39.1,-0.201,0.557
2023-11,56,1.5,73.21,1.79,80.36,199.55,35.2,-0.21,0.495
2023-12,54,1.48,75.93,3.7,85.19,224.3,40.5,-0.262,0.573
2024-01,97,1.42,76.29,4.12,90.72,234.22,41.75,-0.251,0.581
2024-02,95,1.34,76.84,0.0,92.63,224.68,40.04,-0.237,0.559
2024-03,97,1.43,78.35,2.06,87.63,230.37,40.71,-0.245,0.583
2024-04,105,1.3,82.86,1.9,92.38,212.76,37.79,-0.256,0.498
2024-05,78,1.37,78.21,0.0,88.46,208.33,37.04,-0.226,0.498
2024-06,78,1.21,87.18,0.0,93.59,197.37,35.08,-0.314,0.459
2024-07,74,1.35,79.73,2.7,90.54,241.58,43.51,-0.37,0.509
2024-08,92,1.36,79.35,2.17,89.13,255.03,46.42,-0.239,0.553
2024-09,107,1.15,89.72,0.0,96.26,209.31,37.68,-0.299,0.514
2024-10,128,1.15,91.41,1.56,96.88,194.52,35.2,-0.241,0.51
2024-11,49,1.47,81.63,4.08,83.67,195.02,35.14,-0.196,0.548
2024-12,62,1.29,87.1,1.61,91.94,199.18,35.19,-0.231,0.506
2025-01,42,1.69,66.67,7.14,80.95,208.26,37.05,-0.196,0.612
2025-02,40,1.18,85.0,0.0,97.5,209.48,37.92,-0.208,0.489
2025-03,40,1.58,75.0,5.0,85.0,207.9,37.15,-0.223,0.542
2025-04,60,1.42,80.0,6.67,91.67,218.02,39.25,-0.268,0.542
2025-05,43,1.53,72.09,0.0,79.07,237.74,43.02,-0.131,0.562
2025-06,178,1.98,69.66,19.66,73.6,85.03,15.49,-0.095,0.466
2025-07,667,2.77,48.13,35.83,53.22,68.04,12.43,0.036,0.513
2025-08,613,3.0,43.39,42.41,47.96,73.59,13.58,0.061,0.503
2025-09,570,2.61,53.86,32.63,57.54,85.51,15.82,-0.004,0.493
2025-10,496,2.74,49.8,35.89,54.44,70.28,12.71,0.009,0.509
2025-11,396,2.42,59.09,28.79,62.12,73.09,13.63,-0.035,0.484
2025-12,429,2.37,59.67,25.41,62.0,70.95,13.1,-0.069,0.495
2026-01,384,2.43,57.29,28.39,61.2,76.05,13.63,-0.04,0.49
2026-02,315,2.27,60.95,25.4,66.35,79.54,14.35,-0.054,0.449
2026-03,311,2.6,54.34,34.08,57.88,66.0,12.05,-0.026,0.479
2026-04,231,2.65,51.52,33.77,56.28,71.53,13.13,0.032,0.457
2026-05,232,2.54,55.17,31.03,58.62,91.45,17.17,-0.021,0.525
2026-06,184,2.87,46.74,39.67,51.09,75.4,13.65,0.035,0.463
